,FECHA_ANOTACION,VALOR,DESTINO_ECONOMICO,AREA_TERRENO,AREA_CONSTRUIDA, HAB, BAÑOS, LOCAL, PISOS,MAX_PUNT,POINT_X,POINT_Y,Latitud,Longitud,Latitud.1,Longitud.1,UTM waypoint Garmin,Estrato/Hacienda
116,2022-09-19 00:00:00,361242219,C,243,244,0,0,0,1,38,1372669.9858,10794308.646,7.11840499397828,-73.1213615154808,"-7º -7' -6,258"" S","73º 7' 16,901"" W",17 N 1372670 10794309,3
740,2022-12-28 00:00:00,187757999,A,75,112,4,4,0,2,60,1372396.8187,10792336.625,7.10077758828907,-73.1241147421275,"-7º -6' -2,799"" S","73º 7' 26,813"" W",17 N 1372397 10792337,4
1081,2022-03-15 00:00:00,123727720,A,11,49,3,2,0,15,60,1371471.4235,10797860.236,7.15041197884734,-73.131565917585,"-7º -9' -1,483"" S","73º 7' 53,637"" W",17 N 1371471 10797860,2
830,2022-10-28 00:00:00,15646499,A,1,13,0,0,0,1,39,1371866.5573,10796168.2134,7.13519034573366,-73.1282822072297,"-7º -8' -6,685"" S","73º 7' 41,816"" W",17 N 1371867 10796168,0
119,2021-10-01 00:00:00,139671090,A,11,59,2,2,0,1,71,1372658.1786,10794124.0447,7.11675278500403,-73.1214958219238,"-7º -7' -0,31"" S","73º 7' 17,385"" W",17 N 1372658 10794124,3
656,2022-03-22 00:00:00,156465000,A,105,109,4,3,0,2,57,1374137.558,10791665.7711,7.09449995329295,-73.108604084873,"-7º -5' -40,2"" S","73º 6' 30,975"" W",17 N 1374138 10791666,4
635,2021-01-14 00:00:00,225622529,A,75,102,3,3,0,2,46,1372628.8546,10791003.4242,7.08879655198386,-73.1222378315467,"-7º -5' -19,668"" S","73º 7' 20,056"" W",17 N 1372629 10791003,4
369,2022-08-19 00:00:00,229481999,A,19,71,3,2,0,5,58,1374318.5742,10793211.6874,7.10832307408875,-73.1067428151035,"-7º -6' -29,963"" S","73º 6' 24,274"" W",17 N 1374319 10793212,4
268,2021-10-06 00:00:00,370665585,A,7,85,3,2,0,1,81,1373259.2967,10794696.485,7.12178939413714,-73.1160156844321,"-7º -7' -18,442"" S","73º 6' 57,656"" W",17 N 1373259 10794696,4
655,2022-10-31 00:00:00,263904299,A,105,109,4,3,0,2,57,1374146.5264,10791623.3638,7.09411862082477,-73.1085301567177,"-7º -5' -38,827"" S","73º 6' 30,709"" W",17 N 1374147 10791623,4
935,2022-03-10 00:00:00,60499799,A,224,166,8,2,0,2,30,1371901.3934,10796851.8086,7.14131007194664,-73.1278643360892,"-7º -8' -28,716"" S","73º 7' 40,312"" W",17 N 1371901 10796852,1
822,2021-11-04 00:00:00,16115894,A,1,12,0,0,0,1,39,1371888.8943,10796172.7872,7.13522789016098,-73.1280811279642,"-7º -8' -6,82"" S","73º 7' 41,092"" W",17 N 1371889 10796173,0
866,2021-12-17 00:00:00,166530915,A,6,41,3,2,0,1,73,1371893.3036,10796170.8432,7.13520979316214,-73.1280418737751,"-7º -8' -6,755"" S","73º 7' 40,951"" W",17 N 1371893 10796171,0
46,2022-04-27 00:00:00,290659815,A,15,72,0,0,0,8,75,1372723.8985,10794316.0615,7.11846315223884,-73.1208767754438,"-7º -7' -6,467"" S","73º 7' 15,156"" W",17 N 1372724 10794316,4
1299,2022-12-19 00:00:00,198188999,A,221,216,3,1,0,1,28,1371471.9544,10795826.7217,7.13219122287133,-73.1318745971983,"-7º -7' -55,888"" S","73º 7' 54,749"" W",17 N 1371472 10795827,3
991,2021-03-08 00:00:00,127439552,A,11,49,3,2,0,2,60,1371471.4235,10797860.236,7.15041197884734,-73.131565917585,"-7º -9' -1,483"" S","73º 7' 53,637"" W",17 N 1371471 10797860,2
876,2022-03-02 00:00:00,73017000,A,12,45,2,1,1,1,57,1372283.4025,10796495.7635,7.13806104562954,-73.1244924042205,"-7º -8' -17,02"" S","73º 7' 28,173"" W",17 N 1372283 10796496,0
773,2021-05-06 00:00:00,68761152,A,10,35,2,1,0,4,61,1371239.5102,10791153.5125,7.09035379700328,-73.1346767798901,"-7º -5' -25,274"" S","73º 8' 4,836"" W",17 N 1371240 10791154,3
1508,2022-12-19 00:00:00,73017000,A,339,87,2,1,0,1,40,1373585.7832,10798322.2112,7.15422486659952,-73.1125271776386,"-7º -9' -15,21"" S","73º 6' 45,098"" W",17 N 1373586 10798322,4
4,2021-07-08 00:00:00,102067334,A,6,30,3,2,0,2,71,1372975.9068,10794754.9763,7.12235705906571,-73.1185486925213,"-7º -7' -20,485"" S","73º 7' 6,775"" W",17 N 1372976 10794755,4
1003,2021-03-24 00:00:00,127439552,A,11,49,3,2,0,4,60,1371482.5488,10797855.3437,7.15036642802312,-73.1314668688094,"-7º -9' -1,319"" S","73º 7' 53,281"" W",17 N 1371483 10797855,2
1310,2022-07-21 00:00:00,46939499,A,88,74,3,1,0,1,13,1371126.8934,10795869.2149,7.13262501589835,-73.1349634550305,"-7º -7' -57,45"" S","73º 8' 5,868"" W",17 N 1371127 10795869,2
263,2021-02-09 00:00:00,338433795,A,7,85,3,2,0,1,81,1373245.5256,10794688.1391,7.12171673450311,-73.1161404965536,"-7º -7' -18,18"" S","73º 6' 58,106"" W",17 N 1373246 10794688,4
1191,2021-03-24 00:00:00,87992786,A,9,40,2,1,0,15,47,1371509.7268,10797873.2123,7.15052234434597,-73.1312203000769,"-7º -9' -1,88"" S","73º 7' 52,393"" W",17 N 1371510 10797873,2
